tKUWxFNwuuN3pm2EFQg8aOgOV6xusx8m , 1 , 138.246.99.249 , 0.171423 , -1 , 0.0669 , 1
BBC News , 1 , 138.246.99.249 , 0.295371 , 0.22 , 0.0479 , 0
7fcFlvzBoaNeUOMsN5i2XnkBwzwcxKw3 , 1 , 138.246.99.249 , 0.167972 , -1 , 0.0469 , 1
Carlos Arredondo , 1 , 194.223.243.253 , 0.244293 , 0.17 , -1 , 0
2PxQpZTeSW2ttUCrxA41rToO8rgEE9Br , 1 , 138.246.99.249 , 0.171765 , -1 , 0.0497 , 1
Tracy McGrady , 1 , 138.246.99.249 , 0.335469 , 0.22 , 0.0676 , 0
yMC4mRMSa8OSBc2cJC2zyQloGUMty0q6 , 1 , 138.246.99.249 , 0.171771 , -1 , 0.0664 , 1
Washington Post , 1 , 138.246.99.249 , 0.29202 , 0.22 , 0.0556 , 0
yszQQFmQ45JLik833EAoTmU2WivHYfeO , 1 , 138.246.99.249 , 0.181614 , -1 , 0.0464 , 1
Outside Lands , 1 , 138.246.99.249 , 0.203961 , 0.13 , 0.0531 , 0
WTINXV1jE7NrQgCu3zyjCXaeVbD9wJkE , 1 , 138.246.99.249 , 0.199405 , -1 , 0.0443 , 1
Patton Oswalt , 1 , 138.246.99.249 , 0.337208 , 0.21 , 0.0522 , 0
zjn1yucXxibs667QwIJpqExRAMct82gl , 1 , 138.246.99.249 , 0.16281 , -1 , 0.0507 , 1
ricin , 2 , 138.246.99.249 , 0.216663 , 0.15 , 0.0635 , 0
I8vPW0WIP48ylw7N8Y09fDTWBir7hkyL , 2 , 138.246.99.249 , 0.163657 , -1 , 0.0536 , 1
Krystle Campbell , 2 , None , 0.316595 , 0.21 , -1 , 0
n3n5ksayQpe5h1QmhpLpt5fanQ5ZQZOn , 2 , 138.246.99.249 , 0.168379 , -1 , 0.0473 , 1
Huffington Post , 2 , 217.219.244.2 , 0.389733 , 0.32 , -1 , 0
cW9wfsXu9vpyWwnqN0bv3TlZZ0rgK4LX , 2 , 138.246.99.249 , 0.17244 , -1 , 0.0582 , 1
Girls Love Beyonce , 2 , 138.246.99.249 , 0.277263 , 0.2 , 0.0467 , 0
tKUWxFNwuuN3pm2EFQg8aOgOV6xusx8m , 2 , 138.246.99.249 , 0.16497 , -1 , 0.0503 , 1
BBC News , 2 , None , 0.230962 , 0.16 , -1 , 0
7fcFlvzBoaNeUOMsN5i2XnkBwzwcxKw3 , 2 , 138.246.99.249 , 0.204012 , -1 , 0.0477 , 1
Carlos Arredondo , 2 , 138.246.99.249 , 0.229984 , 0.15 , 0.0576 , 0
2PxQpZTeSW2ttUCrxA41rToO8rgEE9Br , 2 , 138.246.99.249 , 0.182596 , -1 , 0.0478 , 1
Tracy McGrady , 2 , 138.246.99.249 , 0.320283 , 0.22 , 0.0613 , 0
yMC4mRMSa8OSBc2cJC2zyQloGUMty0q6 , 2 , None , 0.180564 , -1 , -1 , 1
Washington Post , 2 , None , 0.30897 , 0.23 , -1 , 0
yszQQFmQ45JLik833EAoTmU2WivHYfeO , 2 , 194.212.157.67 , 0.166967 , -1 , 46.84 , 1
Outside Lands , 2 , 138.246.99.249 , 0.197626 , 0.12 , 0.0454 , 0
WTINXV1jE7NrQgCu3zyjCXaeVbD9wJkE , 2 , 138.246.99.249 , 0.1726 , -1 , 0.0595 , 1
Patton Oswalt , 2 , 138.246.99.249 , 0.375307 , 0.25 , 0.0444 , 0
zjn1yucXxibs667QwIJpqExRAMct82gl , 2 , None , 0.172416 , -1 , -1 , 1
ricin , 3 , 91.223.128.102 , 0.243425 , 0.17 , 76.75 , 0
I8vPW0WIP48ylw7N8Y09fDTWBir7hkyL , 3 , 138.246.99.249 , 0.177425 , -1 , 0.0704 , 1
Krystle Campbell , 3 , 138.246.99.249 , 0.352699 , 0.21 , 0.0698 , 0
n3n5ksayQpe5h1QmhpLpt5fanQ5ZQZOn , 3 , None , 0.174256 , -1 , -1 , 1
Huffington Post , 3 , 138.246.99.249 , 0.213471 , 0.14 , 0.05 , 0
cW9wfsXu9vpyWwnqN0bv3TlZZ0rgK4LX , 3 , 193.231.236.10 , 0.174019 , -1 , -1 , 1
Girls Love Beyonce , 3 , None , 0.240207 , 0.17 , -1 , 0
tKUWxFNwuuN3pm2EFQg8aOgOV6xusx8m , 3 , 138.246.99.249 , 0.188904 , -1 , 0.0661 , 1
BBC News , 3 , 138.246.99.249 , 0.256996 , 0.17 , 0.0543 , 0
7fcFlvzBoaNeUOMsN5i2XnkBwzwcxKw3 , 3 , 138.246.99.249 , 0.161876 , -1 , 0.0581 , 1
Carlos Arredondo , 3 , None , 0.250347 , 0.17 , -1 , 0
