ZwwTfe6EYcmrf5ReWRSQLb4oihTOEKHh , 1 , None , 0.140857 , -1 , -1 , 1
BBC News , 1 , None , 0.222603 , 0.16 , -1 , 0
9h2U5EZesnhevpgYFFDgy6iUBSxMoH6o , 1 , None , 0.111833 , -1 , -1 , 1
Carlos Arredondo , 1 , None , 0.264384 , 0.19 , -1 , 0
991SnGXUojsI3eA3IznGTHhlECPaEhNN , 1 , 130.149.49.136 , 0.110898 , -1 , 0.05 , 1
Tracy McGrady , 1 , None , 0.260231 , 0.17 , -1 , 0
8rOWv5HsygbLxXGPzVqbwePX7QLhHDqU , 1 , None , 0.205724 , -1 , -1 , 1
Washington Post , 1 , None , 0.211748 , 0.16 , -1 , 0
Av1FcHk3CGI5JW8bm3nEiJULRbZ7uR2u , 1 , None , 0.117117 , -1 , -1 , 1
Outside Lands , 1 , None , 0.193698 , 0.13 , -1 , 0
BVBeQFD2vFFWYKTSPyEQuBeatNfxf7SK , 1 , None , 0.161049 , -1 , -1 , 1
Patton Oswalt , 1 , None , 0.275921 , 0.18 , -1 , 0
troeDWfF0Ac0Ty3QeU1o80Ie1zrUn40m , 1 , None , 0.270284 , -1 , -1 , 1
ricin , 2 , None , 0.199722 , 0.14 , -1 , 0
5G4JAX0vXh4p4p1BSvTZ3AhLXgqLciJt , 2 , None , 0.145492 , -1 , -1 , 1
Krystle Campbell , 2 , None , 0.27773 , 0.19 , -1 , 0
uSqSbVwEAEvc7dTkWxfC6d4HgPKfeGav , 2 , None , 0.180726 , -1 , -1 , 1
Huffington Post , 2 , None , 0.278771 , 0.22 , -1 , 0
YJwlGD0sGbgqlXfQihHT6z8UQUh8w4CS , 2 , None , 0.149884 , -1 , -1 , 1
Girls Love Beyonce , 2 , None , 0.198422 , 0.15 , -1 , 0
ZwwTfe6EYcmrf5ReWRSQLb4oihTOEKHh , 2 , None , 0.178833 , -1 , -1 , 1
BBC News , 2 , None , 0.211066 , 0.16 , -1 , 0
9h2U5EZesnhevpgYFFDgy6iUBSxMoH6o , 2 , None , 0.120522 , -1 , -1 , 1
Carlos Arredondo , 2 , 130.149.49.136 , 0.250761 , 0.2 , 0.058 , 0
991SnGXUojsI3eA3IznGTHhlECPaEhNN , 2 , None , 0.136335 , -1 , -1 , 1
Tracy McGrady , 2 , None , 0.239485 , 0.16 , -1 , 0
8rOWv5HsygbLxXGPzVqbwePX7QLhHDqU , 2 , None , 0.178111 , -1 , -1 , 1
Washington Post , 2 , None , 0.186146 , 0.13 , -1 , 0
Av1FcHk3CGI5JW8bm3nEiJULRbZ7uR2u , 2 , None , 0.121999 , -1 , -1 , 1
Outside Lands , 2 , None , 0.17942 , 0.12 , -1 , 0
BVBeQFD2vFFWYKTSPyEQuBeatNfxf7SK , 2 , None , 0.109614 , -1 , -1 , 1
Patton Oswalt , 2 , None , 0.313209 , 0.21 , -1 , 0
troeDWfF0Ac0Ty3QeU1o80Ie1zrUn40m , 2 , None , 0.286006 , -1 , -1 , 1
ricin , 3 , None , 0.253447 , 0.2 , -1 , 0
5G4JAX0vXh4p4p1BSvTZ3AhLXgqLciJt , 3 , None , 0.110365 , -1 , -1 , 1
Krystle Campbell , 3 , None , 0.263599 , 0.18 , -1 , 0
uSqSbVwEAEvc7dTkWxfC6d4HgPKfeGav , 3 , None , 0.188382 , -1 , -1 , 1
Huffington Post , 3 , None , 0.210271 , 0.15 , -1 , 0
YJwlGD0sGbgqlXfQihHT6z8UQUh8w4CS , 3 , None , 0.147937 , -1 , -1 , 1
Girls Love Beyonce , 3 , None , 0.261702 , 0.2 , -1 , 0
ZwwTfe6EYcmrf5ReWRSQLb4oihTOEKHh , 3 , 130.149.49.136 , 0.157528 , -1 , 0.123 , 1
BBC News , 3 , 130.149.49.136 , 0.196765 , 0.14 , 0.12 , 0
9h2U5EZesnhevpgYFFDgy6iUBSxMoH6o , 3 , 130.149.49.136 , 0.128203 , -1 , 0.116 , 1
Carlos Arredondo , 3 , 130.149.49.136 , 0.340048 , 0.23 , 0.127 , 0
991SnGXUojsI3eA3IznGTHhlECPaEhNN , 3 , None , 0.140987 , -1 , -1 , 1
Tracy McGrady , 3 , 130.149.49.136 , 0.237429 , 0.16 , 0.072 , 0
8rOWv5HsygbLxXGPzVqbwePX7QLhHDqU , 3 , None , 0.16008 , -1 , -1 , 1
Washington Post , 3 , None , 0.20995 , 0.15 , -1 , 0
Av1FcHk3CGI5JW8bm3nEiJULRbZ7uR2u , 3 , None , 0.123201 , -1 , -1 , 1
Outside Lands , 3 , None , 0.173047 , 0.11 , -1 , 0
BVBeQFD2vFFWYKTSPyEQuBeatNfxf7SK , 3 , 130.149.49.136 , 0.116192 , -1 , 0.068 , 1
Patton Oswalt , 3 , None , 0.289797 , 0.2 , -1 , 0
troeDWfF0Ac0Ty3QeU1o80Ie1zrUn40m , 3 , 130.149.49.136 , 0.282101 , -1 , 0.069 , 1
ricin , 4 , None , 0.212569 , 0.15 , -1 , 0
5G4JAX0vXh4p4p1BSvTZ3AhLXgqLciJt , 4 , None , 0.120219 , -1 , -1 , 1
Krystle Campbell , 4 , None , 0.200546 , 0.13 , -1 , 0
uSqSbVwEAEvc7dTkWxfC6d4HgPKfeGav , 4 , 130.149.49.136 , 0.138434 , -1 , 0.073 , 1
Huffington Post , 4 , None , 0.168995 , 0.12 , -1 , 0
YJwlGD0sGbgqlXfQihHT6z8UQUh8w4CS , 4 , None , 0.174129 , -1 , -1 , 1
Girls Love Beyonce , 4 , 130.149.49.136 , 0.230722 , 0.16 , 0.113 , 0
ZwwTfe6EYcmrf5ReWRSQLb4oihTOEKHh , 4 , None , 0.157254 , -1 , -1 , 1
BBC News , 4 , None , 0.178392 , 0.12 , -1 , 0
9h2U5EZesnhevpgYFFDgy6iUBSxMoH6o , 4 , None , 0.13251 , -1 , -1 , 1
Carlos Arredondo , 4 , None , 0.234145 , 0.16 , -1 , 0
991SnGXUojsI3eA3IznGTHhlECPaEhNN , 4 , 130.149.49.136 , 0.116239 , -1 , 0.124 , 1
Tracy McGrady , 4 , None , 0.214816 , 0.14 , -1 , 0
